Scenario,Method,Metric,NSeeds,Mean,SD,CI95_Low,CI95_High
collusive_scale@0.3,RawTrust,MacroAUROC,10,0.9547767509466775,0.005073793747623679,0.9511471775497544,0.9584063243436005
collusive_scale@0.3,RawTrust,MacroF1,10,0.5725292488854735,0.07037355237321187,0.5221870421963642,0.6228714555745828
collusive_scale@0.3,RawTrust,MacroFPR,10,0.09150639298434318,0.017883792052305295,0.0787130988344672,0.10429968713421917
collusive_scale@0.3,TrimmedMean,MacroAUROC,10,0.9376271241631711,0.01420466535921691,0.9274657187012019,0.9477885296251403
collusive_scale@0.3,TrimmedMean,MacroF1,10,0.5156867257667699,0.07243079005434884,0.4638728598951999,0.5675005916383399
collusive_scale@0.3,TrimmedMean,MacroFPR,10,0.09104425497507529,0.01828795344850851,0.07796184117929145,0.10412666877085913
model_replace@0.3,AgriTrust-ACFL,MacroAUROC,10,0.9489889609147408,0.02518793194133247,0.9309705998529444,0.9670073219765373
model_replace@0.3,AgriTrust-ACFL,MacroF1,10,0.5439456117671079,0.0741574405003351,0.49089657457477376,0.596994648959442
model_replace@0.3,AgriTrust-ACFL,MacroFPR,10,0.09764348485163979,0.01134797826974613,0.08952563022737128,0.1057613394759083
model_replace@0.3,Async-Stale,MacroAUROC,10,0.8529812593088749,0.12321370844107822,0.7648394820631158,0.941123036554634
model_replace@0.3,Async-Stale,MacroF1,10,0.4055197826994318,0.11072576198099307,0.3263113441955072,0.48472822120335635
model_replace@0.3,Async-Stale,MacroFPR,10,0.1103946252130219,0.022066192996768246,0.09460942166391219,0.1261798287621316
model_replace@0.3,CoordMedian,MacroAUROC,10,0.9568706022778288,0.002090737621857504,0.9553749786814234,0.9583662258742343
model_replace@0.3,CoordMedian,MacroF1,10,0.6350735225937664,0.023721416749059688,0.618104243302499,0.6520428018850337
model_replace@0.3,CoordMedian,MacroFPR,10,0.07896692918826197,0.0008532753197246555,0.07835653279558752,0.07957732558093641
model_replace@0.3,FedAvg,MacroAUROC,10,0.8987379646701893,0.06936176515540861,0.8491195469547264,0.9483563823856522
