Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.0098123697011813,0.1676885443456332,0.0040240952743428,0.1676885443456332,0.0053080291136742,0.5022316742788185,0.1713187326305376,15.783980679605705,31.23237919807434,17.28973388671875,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
CoordMedian,0.5897428769979152,0.6459397413149285,0.5182756046620234,0.6459397413149285,0.5073914458192493,0.956435754991713,0.0817366277719363,1.0812266768684218,31.398968935012817,17.28973388671875,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
TrimmedMean,0.5874357192494788,0.6287157539772852,0.5733665451270128,0.6287157539772852,0.5000830664208697,0.836185118938089,0.0821803617666153,1.4990850481485165,32.34665513038635,17.28973388671875,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
MultiKrum,0.5902154273801251,0.6660815213509008,0.6470175187419062,0.6660815213509008,0.5073192952447295,0.958197253636754,0.081738312515772,0.8740129258401977,31.51600956916809,17.28973388671875,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
Async-Stale,0.0607922168172341,0.217443006825114,0.06406786078765,0.217443006825114,0.059338658251365,0.5342946451997891,0.1606944153949986,14.847687316459036,25.06801700592041,13.831787109375,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
RawTrust,0.0853648366921473,0.2411414680336283,0.0399269450660281,0.2411414680336283,0.0542422652407508,0.5841101495704627,0.1624337933661207,13.164032680356534,25.96760654449463,13.831787109375,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
AgriTrust-ACFL,0.8143154968728283,0.5838738805879217,0.6751451995277776,0.5838738805879217,0.5467678831641876,0.9569112504952948,0.10720132236278,0.4826888049145875,30.99508786201477,13.831787109375,22662,0.3,sign_flip,"4,7,8",73,sign_flip@0.3
FedAvg,0.7392633773453787,0.2392601431980906,0.223189671672055,0.2392601431980906,0.2259216187690806,0.8524883278785004,0.1573607203863737,3.7782836247983393,32.029765129089355,17.28973388671875,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
CoordMedian,0.6069770674079221,0.6963673216604142,0.7532580041867024,0.6963673216604142,0.6290928868167884,0.9573261628018758,0.0790337390308702,0.5593737763009728,31.920716762542725,17.28973388671875,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
TrimmedMean,0.6231549687282836,0.7341489855209687,0.6771525664641044,0.7341489855209687,0.6390374565513842,0.9553365848189356,0.0779708962417683,0.4790663875488603,33.287863969802856,17.28973388671875,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
