Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,CleanContinuationMacroF1,AttackDamage
RawTrust,0.8100625434329396,0.5281341221483725,0.725789847878865,0.5281341221483725,0.4895569202038685,0.9560429945317144,0.10944870325837741,0.6799978608241796,20.827778816223145,13.831787109375,22662,0.1,collusive_scale,9,0.4824162611040084,-0.007140659099860058
AgriTrust-ACFL,0.8090896455872133,0.523800344053832,0.6443400285510181,0.523800344053832,0.4830834397767172,0.9568330632083213,0.11001014715353581,0.6591565530772322,24.865845203399658,13.831787109375,22662,0.1,collusive_scale,9,0.5644208041754983,0.08133736439878114
FedAvg,0.811952744961779,0.5331976553579317,0.730307949406741,0.5331976553579317,0.4988637509765599,0.9573107998310683,0.10853180296350723,0.7327764631141482,26.220818042755127,17.28973388671875,22662,0.1,adaptive_slow_drift,9,0.4981516167072207,-0.000712134269339193
CoordMedian,0.6070604586518416,0.6952678116709602,0.7373194156762799,0.6952678116709602,0.6426857560412912,0.9581450320516679,0.0790135957095957,0.4712688485726498,25.906381607055664,17.28973388671875,22662,0.1,adaptive_slow_drift,9,0.6384032484667285,-0.004282507574562722
TrimmedMean,0.7736483669214732,0.7013285922376857,0.7707764180984897,0.7013285922376857,0.6881306164711408,0.9594953121607582,0.06453839763849702,0.4039739780002674,25.384347200393677,17.28973388671875,22662,0.1,adaptive_slow_drift,9,0.6633467654102335,-0.024783851060907303
MultiKrum,0.5888255733148019,0.6219421003222199,0.6693904151087059,0.6219421003222199,0.4955508563866225,0.9573536628285458,0.08194224874661815,0.9538166444665029,26.27362871170044,17.28973388671875,22662,0.1,adaptive_slow_drift,9,0.5186064982865883,0.02305564189996584
Async-Stale,0.80636553161918,0.4923752220049911,0.3971177840699325,0.4923752220049911,0.4335864413688543,0.9366850135599948,0.11158639568611982,1.3755056500641296,20.956634521484375,13.831787109375,22662,0.1,adaptive_slow_drift,9,0.43349569551839107,-9.074585046325856e-05
RawTrust,0.8085615010423906,0.5112829873766852,0.6468080432575266,0.5112829873766852,0.46186419526780614,0.9545520841871227,0.11010034590211805,0.7949349158909264,19.994868516921997,13.831787109375,22662,0.1,adaptive_slow_drift,9,0.4824162611040084,0.020552065836202282
AgriTrust-ACFL,0.8090618485059069,0.5231853379037704,0.6442517129795422,0.5231853379037704,0.48217004795491136,0.9567960219938051,0.11002724994129022,0.6579244106142135,25.03857445716858,13.831787109375,22662,0.1,adaptive_slow_drift,9,0.5644208041754983,0.08225075622058697
FedAvg,0.811952744961779,0.5331976553579317,0.730307949406741,0.5331976553579317,0.4988637509765599,0.9573079855175383,0.10853180296350723,0.7326297751346963,25.97546648979187,17.28973388671875,22662,0.1,alie_jitter,9,0.4981516167072207,-0.000712134269339193
CoordMedian,0.607143849895761,0.695286873813545,0.736450302295331,0.695286873813545,0.6426437358780795,0.9581321152315017,0.07899673326212847,0.47034464685654226,26.066179990768433,17.28973388671875,22662,0.1,alie_jitter,9,0.6384032484667285,-0.004240487411351079
TrimmedMean,0.7425434329395414,0.6974861068021845,0.764799817949724,0.6974861068021845,0.6794463775607212,0.9594791918428413,0.06931121041295259,0.4077673964721148,26.043291091918945,17.28973388671875,22662,0.1,alie_jitter,9,0.6633467654102335,-0.01609961215048772
MultiKrum,0.5887977762334955,0.6213270941721584,0.6692965334325286,0.6213270941721584,0.49474444340639506,0.9573486858347656,0.08194693184158196,0.9540159012107494,25.71734881401062,17.28973388671875,22662,0.1,alie_jitter,9,0.5186064982865883,0.023862054880193273
Async-Stale,0.80636553161918,0.4923752220049911,0.3971177840699325,0.4923752220049911,0.4335864413688543,0.936684214092745,0.11158639568611982,1.3755273108254935,19.789509057998657,13.831787109375,22662,0.1,alie_jitter,9,0.43349569551839107,-9.074585046325856e-05
RawTrust,0.8085615010423906,0.5112829873766852,0.6468080432575266,0.5112829873766852,0.46186419526780614,0.9545873936993199,0.11010034590211805,0.7934852454061854,20.837249517440796,13.831787109375,22662,0.1,alie_jitter,9,0.4824162611040084,0.020552065836202282
AgriTrust-ACFL,0.8090618485059069,0.5231853379037704,0.6442517129795422,0.5231853379037704,0.48217004795491136,0.9567996660017798,0.11002724994129022,0.6573828035778948,25.021268367767334,13.831787109375,22662,0.1,alie_jitter,9,0.5644208041754983,0.08225075622058697
FedAvg,0.7523280055594163,0.33292920681166027,0.22239847345165042,0.33292920681166027,0.26544698752151386,0.8669165767829594,0.1447353394825003,3.496879697835329,25.186768531799316,17.28973388671875,22662,0.2,sign_flip,"0,6",0.4981516167072207,0.23270462918570683
CoordMedian,0.8345795691452398,0.6117233815749573,0.6268865376096723,0.6117233815749573,0.5799700503381956,0.9517357371424168,0.09021161490743113,0.4130138792518463,25.222450256347656,17.28973388671875,22662,0.2,sign_flip,"0,6",0.6384032484667285,0.05843319812853287
TrimmedMean,0.8189576094510076,0.5701844899085706,0.7203058185832724,0.5701844899085706,0.5462170888984444,0.9445486233490253,0.10439417947693429,0.7037393415465557,25.887988328933716,17.28973388671875,22662,0.2,sign_flip,"0,6",0.6633467654102335,0.11712967651178907
MultiKrum,0.6012508686587908,0.7137848077603594,0.7243595606437013,0.7137848077603594,0.6193924530061258,0.958536594126033,0.07982073270655218,0.7685538868970734,25.991916179656982,17.28973388671875,22662,0.2,sign_flip,"0,6",0.5186064982865883,-0.10078595471953744
Async-Stale,0.7520500347463517,0.33113287663048047,0.22235734692301753,0.33113287663048047,0.2649400454423,0.8066005664210286,0.14499288350845255,3.9419535517817192,20.749767065048218,13.831787109375,22662,0.2,sign_flip,"0,6",0.43349569551839107,0.16855565007609108
RawTrust,0.7918554551772063,0.4498838277856929,0.38038511221636795,0.4498838277856929,0.3940287269298996,0.9079361157728384,0.11701632660827303,2.4701539766116563,19.95954942703247,13.831787109375,22662,0.2,sign_flip,"0,6",0.4824162611040084,0.08838753417410883
AgriTrust-ACFL,0.80864489228631,0.5160718934763215,0.5589771845604891,0.5160718934763215,0.47097430581071426,0.9492071574570313,0.11017153231355813,1.0301439153355725,24.842047452926636,13.831787109375,22662,0.2,sign_flip,"0,6",0.5644208041754983,0.09344649836478408
FedAvg,0.8047255038220987,0.6923585793063024,0.7641226206791066,0.6923585793063024,0.7082561270232858,0.9585840170071743,0.07297419913480031,0.3687667067921305,25.96659207344055,17.28973388671875,22662,0.2,model_replace,"0,6",0.4981516167072207,-0.21010451031606509
CoordMedian,0.6085337039610841,0.7042853548469715,0.7237439448756029,0.7042853548469715,0.6457067303695107,0.9582412111252508,0.07861399570090434,0.5302387990380301,26.197791814804077,17.28973388671875,22662,0.2,model_replace,"0,6",0.6384032484667285,-0.007303481902782183
TrimmedMean,0.6820847810979848,0.7238833890253235,0.7348363768610401,0.7238833890253235,0.6899427602052334,0.9596411651994908,0.06992791101600665,0.4656907899780087,25.935753345489502,17.28973388671875,22662,0.2,model_replace,"0,6",0.6633467654102335,-0.026595994794999855
MultiKrum,0.6012508686587908,0.7137848077603594,0.7243595606437013,0.7137848077603594,0.6193924530061258,0.958536594126033,0.07982073270655218,0.7685538868970734,25.75807523727417,17.28973388671875,22662,0.2,model_replace,"0,6",0.5186064982865883,-0.10078595471953744
Async-Stale,0.5859068797776233,0.5724745338630667,0.42750465461565246,0.5724745338630667,0.4199147854719289,0.9414325898156869,0.08290248723915718,2.0370900039693027,20.370622396469116,13.831787109375,22662,0.2,model_replace,"0,6",0.43349569551839107,0.013580910046462169
RawTrust,0.8297984711605282,0.5463643276212296,0.7729311821679707,0.5463643276212296,0.5270842166375526,0.9564855335335806,0.09472744280951682,0.36661223336962523,20.5681631565094,13.831787109375,22662,0.2,model_replace,"0,6",0.4824162611040084,-0.044667955533544135
AgriTrust-ACFL,0.808283530229326,0.5072032947200751,0.5631959280409822,0.5072032947200751,0.45505490471861654,0.9538986882344221,0.1102457974832823,1.0272904554104025,24.488515615463257,13.831787109375,22662,0.2,model_replace,"0,6",0.5644208041754983,0.1093658994568818
FedAvg,0.8115635858234885,0.5328223403614167,0.7302497235403463,0.5328223403614167,0.49809672150434986,0.9573061603060921,0.10877124199206888,0.7420037542500993,26.025373220443726,17.28973388671875,22662,0.2,gaussian,"0,6",0.4981516167072207,5.4895202870830495e-05
CoordMedian,0.6049756775538568,0.6782654470919676,0.7526690977286375,0.6782654470919676,0.6005487941177247,0.9580433844831772,0.07930433130347965,0.5087798199835276,26.243204832077026,17.28973388671875,22662,0.2,gaussian,"0,6",0.6384032484667285,0.03785445434900381
TrimmedMean,0.7052397498262682,0.6967649472966806,0.7607949602838026,0.6967649472966806,0.6504628165572722,0.9596459111715054,0.0673299555642667,0.4439439201584838,26.121766567230225,17.28973388671875,22662,0.2,gaussian,"0,6",0.6633467654102335,0.012883948852961291
MultiKrum,0.5892981236970118,0.6466015864060108,0.5401953647256533,0.6466015864060108,0.5163901986068206,0.9566419468281446,0.08187931428000496,1.2057984991525326,25.85965919494629,17.28973388671875,22662,0.2,gaussian,"0,6",0.5186064982865883,0.0022162996797677748
Async-Stale,0.8063099374565671,0.49221126069985915,0.39704716728182127,0.49221126069985915,0.43344487437830903,0.9365910237375062,0.11160824181185601,1.378002696094122,20.28373074531555,13.831787109375,22662,0.2,gaussian,"0,6",0.43349569551839107,5.0821140082035754e-05
RawTrust,0.8088950660180682,0.5175970101824322,0.6473533976944849,0.5175970101824322,0.47248972638825765,0.9552979011480284,0.10999398804724601,0.765384229839583,20.912104606628418,13.831787109375,22662,0.2,gaussian,"0,6",0.4824162611040084,0.009926534715750779
AgriTrust-ACFL,0.8091174426685198,0.5244153502038935,0.6444881863190526,0.5244153502038935,0.48404242863058516,0.9567620952215973,0.11000540381555401,0.6739266129632189,25.259588956832886,13.831787109375,22662,0.2,gaussian,"0,6",0.5644208041754983,0.08037837554491317
FedAvg,0.8378596247394023,0.6513248342020894,0.8402519108645548,0.6513248342020894,0.6763757991695781,0.9597296165960186,0.09248583038981519,0.34488846590676137,26.311472177505493,17.28973388671875,22662,0.2,collusive_scale,"0,6",0.4981516167072207,-0.17822418246235744
CoordMedian,0.6065045170257123,0.7061442924724304,0.7309844225931356,0.7061442924724304,0.6532241629979696,0.9587608058686853,0.07895634675416972,0.5834024919723767,26.033114433288574,17.28973388671875,22662,0.2,collusive_scale,"0,6",0.6384032484667285,-0.014820914531241125
TrimmedMean,0.6170118137595553,0.7217073169815831,0.7489279694850984,0.7217073169815831,0.6789146213098508,0.9597073071348475,0.07713742682307283,0.5458133170113405,25.58709216117859,17.28973388671875,22662,0.2,collusive_scale,"0,6",0.6633467654102335,-0.015567855899617289
MultiKrum,0.6012508686587908,0.7137848077603594,0.7243595606437013,0.7137848077603594,0.6193924530061258,0.958536594126033,0.07982073270655218,0.7685538868970734,25.449161291122437,17.28973388671875,22662,0.2,collusive_scale,"0,6",0.5186064982865883,-0.10078595471953744
Async-Stale,0.8175121612230716,0.5883836741780356,0.5891096680098455,0.5883836741780356,0.5765629985077599,0.9528833794616736,0.09006914047888631,0.38329902257776577,20.927714586257935,13.831787109375,22662,0.2,collusive_scale,"0,6",0.43349569551839107,-0.14306730298936887
RawTrust,0.8082557331480195,0.5051061176620335,0.5628178001961285,0.5051061176620335,0.4504619383739114,0.9542206593891245,0.11016488206969051,0.878888265997538,20.147392988204956,13.831787109375,22662,0.2,collusive_scale,"0,6",0.4824162611040084,0.03195432273009702
AgriTrust-ACFL,0.8089784572619875,0.5219285173896108,0.5564372631067914,0.5219285173896108,0.47972156597196575,0.9541217578114799,0.10997874998261008,0.9228825954689236,25.102993488311768,13.831787109375,22662,0.2,collusive_scale,"0,6",0.5644208041754983,0.08469923820353259
FedAvg,0.8098679638637943,0.5305988413691484,0.7298770848047802,0.5305988413691484,0.49386704256033037,0.9548676789645043,0.10980215259531491,0.8060686506273821,26.08002281188965,17.28973388671875,22662,0.2,adaptive_slow_drift,"0,6",0.4981516167072207,0.004284574146890319
CoordMedian,0.7866018068102849,0.6412382039505707,0.7549413652968401,0.6412382039505707,0.6055501789002624,0.9571058019008776,0.0738674867094427,0.39563955781396426,26.02981948852539,17.28973388671875,22662,0.2,adaptive_slow_drift,"0,6",0.6384032484667285,0.03285306956646605
TrimmedMean,0.7926059763724809,0.6489212099650592,0.7671173628832193,0.6489212099650592,0.6219851431194597,0.9584568123959861,0.07457786732689639,0.3873815034653668,25.84387230873108,17.28973388671875,22662,0.2,adaptive_slow_drift,"0,6",0.6633467654102335,0.04136162229077378
MultiKrum,0.6002223766504517,0.7099856468337181,0.7150352930383498,0.7099856468337181,0.6137423104274061,0.9578679996923469,0.07998397572490902,0.7547068013291639,26.036885261535645,17.28973388671875,22662,0.2,adaptive_slow_drift,"0,6",0.5186064982865883,-0.09513581214081779
Async-Stale,0.8061431549687282,0.4917193767844632,0.39658834804437576,0.4917193767844632,0.4328176740456345,0.9292379958848556,0.11162434238997425,1.626193939640253,19.849581718444824,13.831787109375,22662,0.2,adaptive_slow_drift,"0,6",0.43349569551839107,0.0006780214727565848
RawTrust,0.8083391243919389,0.5096162635996956,0.5633321285332754,0.5096162635996956,0.45936241240640774,0.9470295508721689,0.11022378435828593,1.056194498984558,21.005183219909668,13.831787109375,22662,0.2,adaptive_slow_drift,"0,6",0.4824162611040084,0.023053848697600687
AgriTrust-ACFL,0.8084781097984711,0.5124574831809903,0.5573769386892674,0.5124574831809903,0.4646502644001991,0.9527192075468335,0.11018779989093651,1.0123612570357614,24.828918933868408,13.831787109375,22662,0.2,adaptive_slow_drift,"0,6",0.5644208041754983,0.09977053977529926
FedAvg,0.8098679638637943,0.5305988413691484,0.7298770848047802,0.5305988413691484,0.49386704256033037,0.954845289175466,0.10980215259531491,0.8054006363758254,25.166868209838867,17.28973388671875,22662,0.2,alie_jitter,"0,6",0.4981516167072207,0.004284574146890319
CoordMedian,0.7857678943710911,0.643022551168307,0.757692167492217,0.643022551168307,0.6081117417397196,0.9574527176652632,0.0735588009430211,0.3971227690865633,25.72755002975464,17.28973388671875,22662,0.2,alie_jitter,"0,6",0.6384032484667285,0.030291506727008866
TrimmedMean,0.7876858929812369,0.6520089132060882,0.7652581673888083,0.6520089132060882,0.6235251231179513,0.9585619114240144,0.07390117373260731,0.38983235289318097,26.08122181892395,17.28973388671875,22662,0.2,alie_jitter,"0,6",0.6633467654102335,0.039821642292282244
MultiKrum,0.6002779708130647,0.7102113412848272,0.7152742921779772,0.7102113412848272,0.614065773897528,0.9578347079901564,0.07997463970280132,0.7545838230028756,25.63425850868225,17.28973388671875,22662,0.2,alie_jitter,"0,6",0.5186064982865883,-0.0954592756109397
Async-Stale,0.8061431549687282,0.4917193767844632,0.39658834804437576,0.4917193767844632,0.4328176740456345,0.9292969583813365,0.11162434238997425,1.6251847967270032,20.98642921447754,13.831787109375,22662,0.2,alie_jitter,"0,6",0.43349569551839107,0.0006780214727565848
RawTrust,0.8084503127171647,0.5110858638099882,0.563413196543023,0.5110858638099882,0.46165176640360417,0.9491267752301272,0.1101562306041029,0.9398683337695578,20.172297716140747,13.831787109375,22662,0.2,alie_jitter,"0,6",0.4824162611040084,0.020764494700404257
AgriTrust-ACFL,0.8093398193189715,0.5279840275399723,0.5522681639566084,0.5279840275399723,0.48802840606949244,0.9539535588837058,0.10979334143726471,0.7800698069590201,25.133290767669678,13.831787109375,22662,0.2,alie_jitter,"0,6",0.5644208041754983,0.0763923981060059
FedAvg,0.16984016678248784,0.2973191192423425,0.03980833509682045,0.2973191192423425,0.066527103936442,0.5700451530374903,0.1599739109163459,13.210659282193097,25.793622255325317,17.28973388671875,22662,0.3,sign_flip,"3,8,9",0.4981516167072207,0.4316245127707787
