Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,18,4,2,False,0.8284020125865936,0.13576543640736252,0.7504813075065613,1.0,10.0,0.4915339578138534,0.37215897606655446,0.4769541323184967,,,,,
RawTrust,18,5,0,False,0.6693874299526215,0.052108435919153845,0.3963988721370697,1.0,10.0,0.3239793982446251,0.3135200838725766,0.27316489815711975,,,,,
RawTrust,18,6,1,False,0.7272253036499023,0.2812853640824966,0.39827147126197815,1.0,10.0,0.564379482374845,0.4869428042675382,0.728792130947113,,,,,
RawTrust,18,7,2,False,0.7307214885950089,0.9185468568069235,0.3963988721370697,1.0,10.0,0.8193269581314641,0.8190767217987212,1.4512290954589844,,,,,
RawTrust,18,8,1,False,0.30359481275081635,0.7992862141105387,0.6452030539512634,1.0,10.0,0.4671170323344398,0.49563831288086996,1.7371652126312256,,,,,
RawTrust,18,9,0,False,0.8426310420036316,0.2954254805091451,0.7504813075065613,1.0,10.0,0.6062207947028078,0.5470028784951237,0.7498962879180908,,,,,
RawTrust,19,0,1,False,0.8140973448753357,0.7016650761520701,0.8407187461853027,1.0,9.0,0.7826656389688117,0.7907013099654392,1.8712799549102783,,,,,
RawTrust,19,1,2,False,0.8264173269271851,0.6817715166454279,0.7628388404846191,1.0,9.0,0.7682356027725044,0.7607404385589822,1.9084880352020264,,,,,
RawTrust,19,2,0,False,0.881182849407196,0.6703210252540045,0.8407187461853027,1.0,9.0,0.8196852910345198,0.7911452911957014,1.930745244026184,,,,,
RawTrust,19,3,2,False,0.23710674047470093,0.8593914350323215,-0.10380823165178299,1.0,9.0,0.420582863664982,0.4726191791272787,1.6287589073181152,,,,,
RawTrust,19,4,1,False,0.8728252053260803,0.19237073388744866,0.7628388404846191,1.0,9.0,0.5616112965236869,0.4195220561808376,0.4750806391239166,,,,,
RawTrust,19,5,0,False,0.7001214623451233,0.08587980192950036,0.2935566306114197,1.0,9.0,0.38577582131775506,0.33158401823387124,0.27353084087371826,,,,,
RawTrust,19,6,2,False,0.6965493559837341,0.37705114318107136,0.3371008634567261,1.0,9.0,0.6018007950705584,0.5156573019682933,0.7530672550201416,,,,,
RawTrust,19,7,0,False,0.7160556018352509,1.0,0.4308364987373352,1.0,9.0,0.831158837893301,0.8220972508223661,1.4682753086090088,,,,,
RawTrust,19,9,0,False,0.8871983587741852,0.3785049832614111,0.756599485874176,1.0,9.0,0.6717825621108388,0.5781977993990525,0.7550537586212158,,,,,
RawTrust,20,0,3,False,0.8475586175918579,0.5199198998111704,0.7705881595611572,1.0,7.0,0.7313741636122333,0.7758695233771377,1.998246192932129,,,,,
RawTrust,20,1,4,False,0.7430818974971771,0.9872795395036782,0.4358220398426056,1.0,7.0,0.8097394756860343,0.7729901978407452,1.5397253036499023,,,,,
RawTrust,20,2,0,False,0.8655960857868195,1.0,0.7705881595611572,1.0,7.0,0.9151649440082739,0.8221502043988445,1.5474493503570557,,,,,
RawTrust,20,4,0,False,0.6804064214229584,0.042247330940370774,0.4358220398426056,1.0,7.0,0.3107753295972532,0.3923353745349415,0.44924119114875793,,,,,
