Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,Seed,Scenario,MeanTrustMalicious,MeanTrustBenign,BenignFalseQuarantine,MaliciousQuarantineRecall
A3 +Reliability+History,0.613815149409312,0.575014417233493,0.6973398562963684,0.575014417233493,0.5081765133854125,0.8521726225989069,0.09229773835444216,0.9805637478709157,23.28537344932556,,22662,0,0,9802,model_replace@0.3,0.7434041984956323,0.8412472425782807,0.0,
A4 +Clipping,0.7122446143154969,0.6788397788238217,0.7141666384703586,0.6788397788238217,0.597563741758952,0.9566916282801851,0.07195611663457473,0.4378947172130962,23.123367071151733,,22662,0,0,9802,model_replace@0.3,0.7248102030592692,0.8519562914323708,0.0,
A5 +Similarity (duplicate-aware consensus),0.7122446143154969,0.6788397788238217,0.7141666384703586,0.6788397788238217,0.597563741758952,0.9566916282801851,0.07195611663457473,0.4378947172130962,23.456209182739258,,22662,0,0,9802,model_replace@0.3,0.7248102030592692,0.8519562914323708,0.0,
A6 +Gate (no probation),0.8310215427380125,0.6064967375625009,0.6577451785634952,0.6064967375625009,0.5753154343452807,0.958422937389083,0.09572666279495136,0.36798089777243376,23.07888650894165,,22662,0,0,9802,model_replace@0.3,0.7147991564323108,0.845357440949241,0.0,0.21739130434782608
"A7 +Probation (full AgriTrust, symmetric memory)",0.830993745656706,0.6092311448828608,0.6541375065517314,0.6092311448828608,0.5752645254646676,0.9584303442326204,0.09570525602175688,0.3681180235272917,23.61050510406494,,22662,0,1,9802,model_replace@0.3,0.7148977919937652,0.8455714362943885,0.0,0.17391304347826086
"A8 Full AgriTrust, asymmetric memory",0.8311883252258513,0.6305265716735214,0.7787374444126834,0.6305265716735214,0.5821405905585989,0.9583878906336173,0.09147581461832834,0.3579793459769527,24.189457893371582,,22662,0,1,9802,model_replace@0.3,0.5560220777677916,0.745231686275031,0.0,0.17391304347826086
A0 Staleness-weighted only,0.8073384294649062,0.4953957980548764,0.3958484429961758,0.4953957980548764,0.4340814646968962,0.9283808620590143,0.11070353076994587,1.650801111705029,19.583230018615723,,22662,0,0,9803,collusive_scale@0.3,1.0,1.0,0.0,
A1 +Direction,0.8043641417651146,0.486623868230315,0.39015084115108145,0.486623868230315,0.424748059163697,0.9184129137781212,0.11138410023081535,2.131514751726945,20.402104139328003,,22662,0,0,9803,collusive_scale@0.3,0.8701552989539194,0.7911242559013031,0.0,
A2 +Norm,0.8075330090340515,0.4959696626228383,0.39575686125842785,0.4959696626228383,0.4342934802945024,0.9304265751664023,0.11055909235611984,1.7030082798070187,19.01271104812622,,22662,0,0,9803,collusive_scale@0.3,0.6042389952370764,0.7257261427701441,0.0,
A3 +Reliability+History,0.8073662265462126,0.4954777787074424,0.3962771680654185,0.4954777787074424,0.434475607238529,0.930953800307333,0.11077294413059967,1.534636374111326,19.732266426086426,,22662,0,0,9803,collusive_scale@0.3,0.7679092955234812,0.8293589990314091,0.0,
A4 +Clipping,0.8078665740097289,0.4971046836637057,0.3954450881032851,0.4971046836637057,0.43460473978252007,0.956061128176044,0.11027970220443141,0.7768939653460907,19.670048475265503,,22662,0,0,9803,collusive_scale@0.3,0.7449664548283512,0.8252684748883314,0.0,
