Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,PoisonRatio,AttackType,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,5,0,3,False,0.7547473609447479,0.7724062298692603,0.7368791103363037,1.0,8.0,0.7726982618587568,0.8041984808579754,1.5113059282302856,0.0,none,,,,,
RawTrust,5,2,0,False,0.8239517211914062,0.5572043331593,0.7368791103363037,1.0,8.0,0.7473538672104602,0.7565761292916284,2.3611817359924316,0.0,none,,,,,
RawTrust,5,3,3,False,0.22627902030944824,0.6679039255501551,0.5481381416320801,1.0,8.0,0.3800525758898322,0.5039387027002872,1.8433431386947632,0.0,none,,,,,
RawTrust,5,4,1,False,0.8216018080711365,0.5621746542194622,0.7904952764511108,1.0,8.0,0.7493923779782317,0.5016271024805907,0.4834851920604706,0.0,none,,,,,
RawTrust,5,5,1,False,0.6878221929073334,0.3659593900654475,0.1777237355709076,1.0,8.0,0.5901522932893615,0.4107075245201085,0.2689439058303833,0.0,none,,,,,
RawTrust,5,6,4,False,0.7344682812690735,0.7724062298692603,0.3499937057495117,1.0,8.0,0.7683304434877181,0.5716290209409416,0.7462612390518188,0.0,none,,,,,
RawTrust,5,8,0,False,0.3319990038871765,0.6727458915630302,0.5481381416320801,1.0,8.0,0.46594393302058007,0.511688132370362,1.8252408504486084,0.0,none,,,,,
RawTrust,5,9,2,False,0.8211389183998108,0.751439758683141,0.7904952764511108,1.0,8.0,0.7908484093500096,0.6369130367448677,0.7187237739562988,0.0,none,,,,,
RawTrust,6,0,0,False,0.8546903431415558,0.670321064796543,0.9077612161636353,1.0,7.0,0.7929485727928953,0.8013860038417054,2.0450801849365234,0.0,none,,,,,
RawTrust,6,1,4,False,0.6324613988399506,0.8434161693941622,0.24027977883815765,1.0,7.0,0.7068453193453681,0.7934478753090073,1.405225157737732,0.0,none,,,,,
RawTrust,6,2,0,False,0.8725373446941376,0.6034849224682142,0.9077612161636353,1.0,7.0,0.7899636541324816,0.7649230105018417,2.1914162635803223,0.0,none,,,,,
RawTrust,6,5,1,False,0.8288713693618774,0.0731822883134316,0.4118703603744507,1.0,7.0,0.4034707456583659,0.40889832980467283,0.28132906556129456,0.0,none,,,,,
RawTrust,6,6,0,False,0.790442705154419,0.3360342360311926,0.3434680700302124,1.0,7.0,0.6232365460214089,0.5845309022110584,0.7669731378555298,0.0,none,,,,,
RawTrust,6,7,4,False,0.623333252966404,1.0,0.17283844947814941,1.0,7.0,0.7701219099425958,0.814014607363784,1.5718408823013306,0.0,none,,,,,
RawTrust,6,8,1,False,0.268018513917923,0.9443593288460773,-0.03962882608175278,1.0,7.0,0.4585481389867225,0.49840313402445213,1.632178544998169,0.0,none,,,,,
RawTrust,7,0,0,False,0.7853504419326782,0.6943207502630924,0.7910183668136597,1.0,8.0,0.7649240000851333,0.7922705029025624,1.439149260520935,0.0,none,,,,,
RawTrust,7,1,0,False,0.7347782701253891,0.7460236905925582,0.5485987067222595,1.0,8.0,0.7398690312201979,0.7800531642868049,1.3461476564407349,0.0,none,,,,,
RawTrust,7,2,2,False,0.8559256196022034,0.4094864485475556,0.7910183668136597,1.0,8.0,0.6958051584063185,0.747643547477961,2.3518218994140625,0.0,none,,,,,
RawTrust,7,4,3,False,0.8657901883125305,0.44723944456295217,0.7711684703826904,1.0,8.0,0.7201502626361368,0.5562578925194772,0.48494410514831543,0.0,none,,,,,
RawTrust,7,5,0,False,0.40573887526988983,0.23812672753012853,0.11077673733234406,1.0,8.0,0.3880613710886072,0.4036890901256564,0.2698265314102173,0.0,none,,,,,
RawTrust,7,6,1,False,0.7290129363536835,0.7460236905925582,0.3742917776107788,1.0,8.0,0.7572500336410324,0.6277106850685519,0.7805106043815613,0.0,none,,,,,
RawTrust,7,8,1,False,0.24541020393371582,0.6471503697808577,0.11077673733234406,1.0,8.0,0.390027847017443,0.47130931227269984,1.536476731300354,0.0,none,,,,,
RawTrust,7,9,3,False,0.9006945788860321,0.7001749068125348,0.7711684703826904,1.0,8.0,0.8146582483534319,0.6813493396470087,0.735795795917511,0.0,none,,,,,
RawTrust,8,0,4,False,0.7503933310508728,0.6581190378949935,0.8404924869537354,1.0,10.0,0.7341175230231963,0.7777322579327208,1.871077299118042,0.0,none,,,,,
RawTrust,8,1,1,False,0.6557728052139282,0.9941666582373353,0.444864958524704,1.0,10.0,0.7575219577246775,0.774420362646273,1.361831545829773,0.0,none,,,,,
RawTrust,8,2,0,False,0.7846267819404602,0.7999775715415472,0.8404924869537354,1.0,10.0,0.8108938999836695,0.7634561356043882,1.6099306344985962,0.0,none,,,,,
RawTrust,8,3,0,False,0.3368266522884369,0.6827490243737916,0.831190288066864,1.0,10.0,0.47613158882012147,0.49698692423024576,1.8188773393630981,0.0,none,,,,,
RawTrust,8,4,1,False,0.7395664006471634,0.22817716468329083,0.444864958524704,1.0,10.0,0.5396388763533196,0.5521031384779378,0.4344777464866638,0.0,none,,,,,
RawTrust,8,5,0,False,0.5543536208570004,0.13393949499649685,0.41105443239212036,1.0,10.0,0.3876838547173019,0.39968778127356774,0.2882656157016754,0.0,none,,,,,
RawTrust,8,6,3,False,0.6335861682891846,0.4980664700276171,0.3652574121952057,1.0,10.0,0.6209955046325677,0.6260318899595558,0.7925843596458435,0.0,none,,,,,
