Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold,TrustUpdate,UsedForCalibration
AgriTrust-ACFL,8,2,0,False,0.8828817307949066,0.4682313963782346,0.8383663296699524,1.0,9,0.7368184984192953,0.8158975207539586,1.6813713312149048,True,False,10036.355402794445,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,3,1,False,0.43648603558540344,0.732360446378628,0.5886546969413757,1.0,9,0.560759036837389,0.6793523205208627,0.539350688457489,True,False,11395.07956959239,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,4,0,False,0.7895354628562927,0.6743811677107071,0.7023156881332397,1.0,9,0.7743016126239259,0.7291736486229488,0.49410438537597656,True,False,561.4637094396705,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,5,0,False,0.6025728434324265,0.3876061358421391,0.2792642116546631,1.0,9,0.5582706258403943,0.6130147543334937,0.27435290813446045,True,False,282.5998017477406,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,6,1,False,0.6676430404186249,1.0,0.3325285017490387,1.0,9,0.7877864665948116,0.7334664498693586,0.7508959770202637,True,False,480.77386469457315,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,7,1,False,0.8269330263137817,0.5076298269641449,0.5374189615249634,1.0,9,0.7340677451952821,0.77298439606858,1.5430842638015747,True,False,4611.353579043507,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,8,1,False,0.43543078005313873,0.670320677018786,0.5886546969413757,1.0,9,0.5403105150044254,0.6709878710845192,0.4909444749355316,True,False,11254.778927342593,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,8,9,2,False,0.8540782332420349,0.9968278695292458,0.7023156881332397,1.0,9,0.8796412875552945,0.8305558835231649,0.7534347176551819,True,False,366.7192017340885,1.8772399425506592,0.0,symmetric,True
AgriTrust-ACFL,9,0,1,False,0.8559744954109192,0.6835702112279667,0.8361838459968567,1.0,8,0.7982771816783767,0.7647210654812637,1.6382575035095215,True,False,3599.5198899881766,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,9,1,2,False,0.8193588554859161,0.6198213291319115,0.7787972688674927,1.0,8,0.7430770271526993,0.7796625986472665,1.8632957935333252,True,False,6412.016220787153,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,9,2,0,False,0.8970637917518616,0.6573277188590341,0.8361838459968567,1.0,8,0.8229309264434806,0.8176558721763391,1.72478449344635,True,False,10057.984883641147,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,9,5,0,False,0.6982452124357224,0.38130944153692337,0.37495121359825134,1.0,8,0.6024346990845195,0.6103697405212503,0.27966317534446716,True,False,281.3804503802964,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,9,6,3,False,0.6971710324287415,0.8179408296163994,0.3458558917045593,1.0,8,0.7595604379756462,0.7399899468959306,0.7627968788146973,True,False,197.2065719364824,2.5425583124160767,0.0,symmetric,True
