Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,DropoutRate,MaxStaleness
Async-Stale,0.7794301598332175,0.6293695336924374,0.7120295001881386,0.6293695336924374,0.5785242140260388,0.9536797350244172,0.07851944634034902,0.3912080216155446,37.25618886947632,21.43927001953125,22662,0.4,6
AgriTrust-ACFL,0.5864350243224461,0.6238995775720851,0.6605345206812723,0.6238995775720851,0.46903591146804136,0.9554287453971207,0.08239282801145262,0.8052869438024453,45.15983819961548,21.43927001953125,22662,0.4,6
Async-Stale,0.8262682418346073,0.5456116053894436,0.7322893502776804,0.5456116053894436,0.5227211575351797,0.9560906372442632,0.09974944356636899,0.5724714319535543,29.824260473251343,16.59814453125,22662,0.6,0
AgriTrust-ACFL,0.827685892981237,0.6229633717590983,0.8048155076569637,0.6229633717590983,0.6266870695535515,0.9575089868055652,0.08628074047690444,0.3517181973080809,37.68361234664917,16.59814453125,22662,0.6,0
Async-Stale,0.7928839471855456,0.45187189302397684,0.3944949361853934,0.45187189302397684,0.4082545688713705,0.9115861367030428,0.11981945049814273,2.2668646556671948,25.47085165977478,13.658889770507812,22662,0.6,1
AgriTrust-ACFL,0.8079499652536484,0.4981861575390501,0.5615280894127115,0.4981861575390501,0.435582570725628,0.9458744675352081,0.1101047993434422,1.2382382595814294,31.806622743606567,13.658889770507812,22662,0.6,1
Async-Stale,0.7236136205698401,0.7155335385964725,0.7099210230325781,0.7155335385964725,0.6728569064164046,0.9569915370100063,0.0727587556676547,0.4111571700027189,24.331201791763306,12.967300415039062,22662,0.6,2
AgriTrust-ACFL,0.7037943015983322,0.7214497604144583,0.7182091679135212,0.7214497604144583,0.662406083197559,0.9569412503151703,0.07162270988873648,0.436528710060435,27.809120178222656,12.967300415039062,22662,0.6,2
Async-Stale,0.8094510076441973,0.5349007883097265,0.5527716386686283,0.5349007883097265,0.49806036490921884,0.9516715741645135,0.10979970205552919,0.8044153717553171,19.79506206512451,13.831787109375,22662,0.6,4
AgriTrust-ACFL,0.8109242529534398,0.5554742509447389,0.689693455302593,0.5554742509447389,0.5211913728741617,0.9555707812026344,0.10900462617086272,0.6516752986242271,25.32553243637085,13.831787109375,22662,0.6,4
Async-Stale,0.5899930507296733,0.6527461188544379,0.6409288452604437,0.6527461188544379,0.5296448731956691,0.948806806608701,0.08176368396873447,1.2798314150179606,22.11146068572998,12.275711059570312,22662,0.6,6
AgriTrust-ACFL,0.5884920083391244,0.6430049302990483,0.5608665190332242,0.6430049302990483,0.5120416299189157,0.952352495212161,0.08200271629969924,1.3140289162239511,26.977455854415894,12.275711059570312,22662,0.6,6
