GateMode,NoiseSigmaProxy,MaxStaleness,ClientRounds,MeanTrust,MinTrust,FalseQuarantineRate,MinAdmittedPerRound,Tau_cal,MeanEffectiveThreshold,ValMacroF1
hybrid,0.0,1,47,0.6850625963116771,0.5330897519762378,0.10638297872340426,3,0.6079962196126982,0.56215794943661,0.5602921913661263
hybrid,0.0,2,47,0.681015629780035,0.5319589685534796,0.0851063829787234,3,0.6079962196126982,0.5596999539664136,0.5735744552485617
hybrid,0.0,4,47,0.6806535560821645,0.5330897519762378,0.06382978723404255,3,0.6079962196126982,0.5561048108013998,0.4905316754296622
hybrid,0.0,6,47,0.6808234082136214,0.5330897519762378,0.06382978723404255,3,0.6079962196126982,0.5586301516515537,0.4757316884256
hybrid,0.1,0,47,0.6852428749938254,0.5344161175576934,0.10638297872340426,4,0.6079962196126982,0.5711667938908846,0.5815400575826558
hybrid,0.1,1,47,0.6853330305720612,0.5344161175576934,0.10638297872340426,3,0.6079962196126982,0.5625668990254017,0.5604436550079231
hybrid,0.1,2,47,0.6813276624676753,0.5333539312843651,0.0851063829787234,3,0.6079962196126982,0.5599321069241293,0.5735744552485617
hybrid,0.1,4,47,0.6810299729995617,0.5344161175576934,0.06382978723404255,3,0.6079962196126982,0.5564269775742996,0.4905316754296622
hybrid,0.1,6,47,0.6811596533550642,0.5344161175576934,0.06382978723404255,3,0.6079962196126982,0.5589277819642788,0.4757316884256
hybrid,0.25,0,47,0.6860088741078382,0.5400833614739878,0.0851063829787234,4,0.6079962196126982,0.5712742756385297,0.5815152585985413
hybrid,0.25,1,47,0.6869831133725296,0.5359767215567809,0.0851063829787234,3,0.6079962196126982,0.5662893356831084,0.5821063835154463
hybrid,0.25,2,47,0.6823167906116656,0.5399976901021639,0.0851063829787234,3,0.6079962196126982,0.5601874001123239,0.5734111549084043
hybrid,0.25,4,47,0.682203208281418,0.5400833614739878,0.06382978723404255,3,0.6079962196126982,0.5570476685796958,0.4905316754296622
hybrid,0.25,6,47,0.6821913920761843,0.5400833614739878,0.06382978723404255,3,0.6079962196126982,0.5593005180114977,0.47556669937061297
hybrid,0.5,0,47,0.6854752767556241,0.552086076152529,0.06382978723404255,4,0.6079962196126982,0.568560383075204,0.580309550802494
hybrid,0.5,1,47,0.6883147999977214,0.552086076152529,0.0425531914893617,4,0.6079962196126982,0.5629244314104742,0.5864155854973621
hybrid,0.5,2,47,0.6855506545467848,0.552086076152529,0.0425531914893617,3,0.6079962196126982,0.5602357965037866,0.5546747478145952
hybrid,0.5,4,47,0.6845064824907604,0.552086076152529,0.02127659574468085,4,0.6079962196126982,0.5594457311845028,0.4607347904805406
hybrid,0.5,6,47,0.6846678098291669,0.552086076152529,0.02127659574468085,4,0.6079962196126982,0.560917189670033,0.45690641893255207
hybrid,0.75,0,47,0.6903401803989616,0.5612788562512512,0.0425531914893617,4,0.6079962196126982,0.5691495511824864,0.5799039990858744
hybrid,0.75,1,47,0.688628510535312,0.5612788562512512,0.02127659574468085,4,0.6079962196126982,0.5609829242891909,0.5614043948324805
hybrid,0.75,2,47,0.6853511391693347,0.5612788562512512,0.02127659574468085,4,0.6079962196126982,0.5581484152865446,0.5214165578125428
hybrid,0.75,4,47,0.6847619612785782,0.5612788562512512,0.02127659574468085,4,0.6079962196126982,0.5565119741036494,0.4547477822860965
hybrid,0.75,6,47,0.6848921022039618,0.5612788562512512,0.02127659574468085,4,0.6079962196126982,0.5579695077604273,0.4543995525522932
