Method,Round,SelectedClients,MeanStaleness,ValMacroF1,MeanLocalLoss
RawTrust,12,8,1.75,0.5173440060885536,0.36502255006813267
RawTrust,13,9,1.4444444444444444,0.5412679739786439,0.2772870705987981
RawTrust,14,9,1.0,0.5424931116937366,0.5005193701461323
RawTrust,15,8,0.625,0.5297487626654659,0.2677376425170994
RawTrust,16,7,0.5714285714285714,0.433184323174389,0.5351907915939844
RawTrust,17,7,2.2857142857142856,0.5295995483633639,0.3578984668149043
RawTrust,18,10,1.2,0.5260577048178627,0.5444051279944191
RawTrust,19,9,0.8888888888888888,0.6161732459013328,0.6230272004416819
RawTrust,20,7,2.0,0.631096095294427,0.5679516944676718
RawTrust,21,8,1.0,0.4806825942792186,0.356970623746372
RawTrust,22,7,0.42857142857142855,0.4516481353822595,0.4324493190205705
RawTrust,23,10,1.6,0.5685620903327,0.5431715662061357
RawTrust,24,7,1.0,0.5630127474702464,0.561745763240249
RawTrust,25,9,1.2222222222222223,0.6377236027001947,0.4959198924349657
RawTrust,26,7,1.5714285714285714,0.5639616047970106,0.4572324742086951
RawTrust,27,9,1.4444444444444444,0.554026632453709,0.5302572933713132
RawTrust,28,8,2.0,0.5829350610590471,0.3700404749757237
RawTrust,29,6,0.6666666666666666,0.47204751750737234,0.4781697031865931
RawTrust,30,8,1.375,0.5733311482897265,0.5202145342399636
RawTrust,31,7,1.8571428571428572,0.5750994216450338,0.3429054675537878
RawTrust,32,7,1.0,0.5394621175718506,0.4359222486599041
RawTrust,33,9,1.1111111111111112,0.5816015320248226,0.5707953415197705
RawTrust,34,7,0.5714285714285714,0.5987855895446985,0.5992539704854317
RawTrust,35,9,1.3333333333333333,0.5852730317043194,0.43490764209091043
RawTrust,36,10,0.9,0.5893134387456199,0.375086705292604
RawTrust,37,10,1.3,0.5898247643106426,0.44338519679819327
RawTrust,38,9,1.1111111111111112,0.6351213083183457,0.454732622522111
RawTrust,39,9,1.1111111111111112,0.5520063278694687,0.44373227985883773
RawTrust,40,9,1.1111111111111112,0.5999042730643045,0.2513415504011329
AgriTrust-ACFL,1,8,0.0,0.2377078214282273,0.9294166760862956
AgriTrust-ACFL,2,9,1.0,0.4566727799461825,1.0223581125676264
AgriTrust-ACFL,3,9,0.8888888888888888,0.428201788780368,0.9634737535058707
AgriTrust-ACFL,4,8,1.125,0.37558454339013786,0.7533852077210323
AgriTrust-ACFL,5,10,1.0,0.4121938649186567,0.672635074651909
AgriTrust-ACFL,6,9,0.7777777777777778,0.4258340876487717,0.5423620005623341
AgriTrust-ACFL,7,8,1.375,0.5469442045587777,0.5659447092785277
AgriTrust-ACFL,8,10,1.3,0.5005183331278672,0.5880971035457122
AgriTrust-ACFL,9,6,0.8333333333333334,0.4310674102902865,0.4758004789362844
AgriTrust-ACFL,10,8,1.5,0.4811883154711354,0.4007382827538475
AgriTrust-ACFL,11,5,1.2,0.4134062547806942,0.6130118839355807
AgriTrust-ACFL,12,5,2.0,0.6418027020184971,0.6502347606991075
AgriTrust-ACFL,13,9,0.8888888888888888,0.579065580006496,0.3151629359312235
AgriTrust-ACFL,14,8,1.125,0.6382948564793017,0.3631887967942442
AgriTrust-ACFL,15,6,0.8333333333333334,0.5790782131240483,0.45769932990907153
AgriTrust-ACFL,16,9,1.7777777777777777,0.4918685737640856,0.344088212221604
AgriTrust-ACFL,17,7,1.0,0.6111058755805755,0.21066187388507493
AgriTrust-ACFL,18,8,2.0,0.46753780456325056,0.43842440825616724
AgriTrust-ACFL,19,8,1.625,0.5573090212919779,0.4274661205339213
AgriTrust-ACFL,20,9,1.5555555555555556,0.5227135484012265,0.5057394776335168
AgriTrust-ACFL,21,7,2.2857142857142856,0.5210149387695663,0.5538480880081152
AgriTrust-ACFL,22,9,1.0,0.6653311584038056,0.3883803207846376
AgriTrust-ACFL,23,8,2.375,0.5100222858254866,0.5465860832808878
AgriTrust-ACFL,24,8,1.25,0.5945917952478348,0.7319178905418943
AgriTrust-ACFL,25,9,0.5555555555555556,0.6029716778402334,0.342579244421335
AgriTrust-ACFL,26,8,1.5,0.5731881415635011,0.3103553382609109
AgriTrust-ACFL,27,9,1.3333333333333333,0.5129266389605878,0.3737055798585988
